,Σώμα_A,Σώμα_B,Σώμα_C,STATE
t,y,y,y,
"28,6","-269,01","-176,70","-113,41",
"28,8","-271,65","-176,70","-113,41",
29,"-274,29","-176,70","-113,41",
"29,2","-270,33","-176,70","-113,41",
"29,4","-269,01","-176,70","-113,41",
"29,6","-267,69","-176,70","-113,41",
"29,8","-267,69","-176,70","-114,73",
30,"-267,69","-176,70","-112,09",
"30,2","-271,65","-176,70","-113,41",
"30,4","-274,29","-176,70","-113,41",
"30,6","-263,74","-176,70","-122,64",
"30,8","-266,37","-179,34","-122,64",
31,"-266,37","-179,34","-122,64",
"31,2","-270,33","-180,66","-122,64",
"31,4","-275,60","-181,98","-122,64",
"31,6","-275,60","-183,30","-122,64",
"31,8","-275,60","-183,30","-122,64",
32,"-271,65","-183,30","-125,27",
"32,2","-271,65","-183,30","-125,27",
"32,4","-271,65","-183,30","-125,27",
"32,6","-271,65","-183,30","-125,27",
"32,8","-271,65","-183,30","-125,27",
33,"-271,65","-183,30","-120,00",
"33,2","-271,65","-185,93","-120,00",
"33,4","-271,65","-185,93","-120,00",
"33,6","-271,65","-185,93","-120,00",
"33,8","-271,65","-185,93","-120,00",
34,"-271,65","-185,93","-120,00",
"34,2","-275,60","-185,93","-120,00",
"34,4","-275,60","-185,93","-120,00",
"34,6","-275,60","-185,93","-120,00",
"34,8","-275,60","-185,93","-120,00",
35,"-275,60","-185,93","-120,00",
"35,2","-275,60","-185,93","-120,00",
"35,4","-275,60","-183,30","-120,00",
"35,6","-275,60","-183,30","-120,00",
"35,8","-274,29","-183,30","-120,00",
36,"-274,29","-183,30","-120,00",
"36,2","-274,29","-183,30","-117,36",
"36,4","-274,29","-183,30","-117,36",
"36,6","-274,29","-183,30","-117,36",
